Question,Genre,Measure,patternType,fileName,Fitness,Distance,Score
interestingness,latin,Hamming,Linear,Latin-Hamming-Linear-64-23.wav,64,23,3
interestingness,latin,Hamming,Linear,Latin-Hamming-Linear-64-23.wav,64,23,3
interestingness,latin,Hamming,Linear,Latin-Hamming-Linear-64-23.wav,64,23,3
interestingness,latin,Hamming,Linear,Latin-Hamming-Linear-64-23.wav,64,23,3
interestingness,latin,Hamming,Linear,Latin-Hamming-Linear-64-23.wav,64,23,4
interestingness,latin,Hamming,Linear,Latin-Hamming-Linear-64-23.wav,64,23,4
interestingness,latin,Hamming,Linear,Latin-Hamming-Linear-64-23.wav,64,23,4
interestingness,latin,Hamming,Linear,Latin-Hamming-Linear-64-23.wav,64,23,4
interestingness,latin,Hamming,Linear,Latin-Hamming-Linear-64-23.wav,64,23,4
interestingness,latin,Hamming,Linear,Latin-Hamming-Linear-64-23.wav,64,23,4
interestingness,latin,Hamming,Linear,Latin-Hamming-Linear-64-23.wav,64,23,5
interestingness,latin,Hamming,Linear,Latin-Hamming-Linear-64-23.wav,64,23,5
interestingness,latin,Hamming,Linear,Latin-Hamming-Linear-81-12.wav,81,12,1
interestingness,latin,Hamming,Linear,Latin-Hamming-Linear-81-12.wav,81,12,3
interestingness,latin,Hamming,Linear,Latin-Hamming-Linear-81-12.wav,81,12,3
interestingness,latin,Hamming,Linear,Latin-Hamming-Linear-81-12.wav,81,12,3
interestingness,latin,Hamming,Linear,Latin-Hamming-Linear-81-12.wav,81,12,4
interestingness,latin,Hamming,Linear,Latin-Hamming-Linear-81-12.wav,81,12,4
interestingness,latin,Hamming,Linear,Latin-Hamming-Linear-81-12.wav,81,12,4
interestingness,latin,Hamming,Linear,Latin-Hamming-Linear-81-12.wav,81,12,4
interestingness,latin,Hamming,Linear,Latin-Hamming-Linear-81-12.wav,81,12,4
interestingness,latin,Hamming,Linear,Latin-Hamming-Linear-81-12.wav,81,12,4
interestingness,latin,Hamming,Linear,Latin-Hamming-Linear-81-12.wav,81,12,4
interestingness,latin,Hamming,Linear,Latin-Hamming-Linear-81-12.wav,81,12,4
interestingness,latin,Hamming,Linear,Latin-Hamming-Linear-81-12.wav,81,12,4
interestingness,latin,Hamming,Linear,Latin-Hamming-Linear-81-12.wav,81,12,4
interestingness,latin,Hamming,Linear,Latin-Hamming-Linear-81-12.wav,81,12,4
interestingness,latin,Hamming,Linear,Latin-Hamming-Linear-81-12.wav,81,12,4
interestingness,latin,Hamming,Linear,Latin-Hamming-Linear-81-12.wav,81,12,4
interestingness,latin,Hamming,Linear,Latin-Hamming-Linear-81-12.wav,81,12,5
interestingness,latin,Hamming,Linear,Latin-Hamming-Linear-81-12.wav,81,12,5
interestingness,latin,Hamming,Linear,Latin-Hamming-Linear-81-12.wav,81,12,5
interestingness,latin,Hamming,Linear,Latin-Hamming-Linear-81-12.wav,81,12,5
interestingness,latin,Hamming,Linear,Latin-Hamming-Linear-81-12.wav,81,12,5
interestingness,latin,Hamming,Linear,Latin-Hamming-Linear-91-6.wav,91,6,2
